一级单位,二级单位,三级单位,清单ID,排放源名称,清单属性,上级排放源序号,上级排放源名称,上级排放源编号
原料烧结厂,原料烧结厂一车间,1#料场,JSSG_QD_YS1_1099,S3头部料斗,简单运输,上级排放源名称1,S9到S3皮带落料点,JSSG_QD_YS1_1186
原料烧结厂,原料烧结厂一车间,1#料场,JSSG_QD_YS1_1100,S2头部料斗,简单运输,上级排放源名称1,S1头部料斗,JSSG_QD_YS1_1101
原料烧结厂,原料烧结厂一车间,1#料场,JSSG_QD_YS1_1101,S1头部料斗,简单运输,上级排放源名称1,S5头部料斗,JSSG_QD_YS1_1102
原料烧结厂,原料烧结厂一车间,1#料场,JSSG_QD_YS1_1102,S5头部料斗,简单运输,上级排放源名称1,KY-2到S5皮带落料点,JSSG_QD_YS1_1184
原料烧结厂,原料烧结厂一车间,1#料场,JSSG_QD_YS1_1103,B104头部料斗,简单运输,上级排放源名称1,B104机头,JSSG_QD_YS1_1221
原料烧结厂,原料烧结厂一车间,1#料场,JSSG_QD_YS1_1104,B103头部料斗,简单运输,上级排放源名称1,B102至B103头皮带落料点,JSSG_QD_YS1_1177
原料烧结厂,原料烧结厂一车间,1#料场,JSSG_QD_YS1_1105,B102头部料斗,简单运输,上级排放源名称1,B101B至B102皮带落料点,JSSG_QD_YS1_1178
原料烧结厂,原料烧结厂一车间,1#料场,JSSG_QD_YS1_1106,B101B头部料斗,简单运输,上级排放源名称1,B101B头轮,JSSG_QD_YS1_1003
原料烧结厂,原料烧结厂一车间,1#料场,JSSG_QD_YS1_1107,S5-1头部料斗,简单运输,上级排放源名称1,KY-2到S5-1皮带落料点,JSSG_QD_YS1_1180
原料烧结厂,原料烧结厂一车间,1#料场,JSSG_QD_YS1_1108,KY-2头部料斗,简单运输,上级排放源名称1,KY-1到KY-2皮带机落料点,JSSG_QD_YS1_1189
原料烧结厂,原料烧结厂一车间,1#料场,JSSG_QD_YS1_1109,KY-1头部料斗,简单运输,上级排放源名称1,桥基至KY-1落料点1,JSSG_QD_YS1_1014
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1110,老Y202头部料斗,简单运输,上级排放源名称1,2#DQL,JSSG_QD_YS1_0000
原料烧结厂,原料烧结厂一车间,高炉直供系统,JSSG_QD_YS1_1111,老Y102头部料斗,简单运输,上级排放源名称1,Y201R至老Y102皮带落料点,JSSG_QD_YS1_1164
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1112,Y201R头部料斗,简单运输,上级排放源名称1,Y101R至Y201R皮带落料点,JSSG_QD_YS1_1165
原料烧结厂,原料烧结厂一车间,2#料场,JSSG_QD_YS1_1113,Y101R头部料斗,简单运输,上级排放源名称1,BC-2至Y101R皮带落料点,JSSG_QD_YS1_1166
